,assists,blocks,defRebs,fga,fgm,fgpct,fouls,fta,ftm,ftpct,mins,offRebs,points,rebs,secs,steals,tpa,tpm,tppct,turnovers,technicalFouls,efficiency,id
0,1514,269,2236,5408,2625,48.5,1009,1230,932,75.8,2842,616,7055,2852,0,483,2209,873,39.5,831,,,1610612749
1,1420,323,2266,5300,2469,46.6,1133,1305,1036,79.4,2895,633,6987,2899,0,390,2597,1013,39.0,845,,,1610612762
2,1563,258,2122,5305,2555,48.2,1076,1562,1147,73.4,2905,698,6898,2820,0,437,1835,641,34.9,871,,,1610612740
3,1576,262,2027,5350,2514,47.0,1094,1200,930,77.5,2809,645,6608,2672,0,547,1799,650,36.1,764,,,1610612763
4,1295,303,2162,5272,2401,45.5,1253,1309,1017,77.7,2948,621,6520,2783,0,435,1818,701,38.6,815,,,1610612752
5,1337,273,2159,5258,2336,44.4,1091,1256,920,73.2,2895,568,6334,2727,0,418,2145,742,34.6,957,,,1610612760
6,1450,283,2075,5243,2439,46.5,1167,1464,1188,81.1,2905,644,6825,2719,0,421,2033,759,37.3,799,,,1610612737
7,1389,374,2119,5197,2464,47.4,1222,1573,1201,76.4,2905,601,6789,2720,0,535,1791,660,36.9,888,,,1610612755
8,1306,256,2059,5281,2271,43.0,999,1216,942,77.5,2842,613,6145,2672,0,418,1913,661,34.6,754,,,1610612753
9,1476,227,2099,5292,2486,47.0,1281,1527,1159,75.9,2842,549,6747,2648,0,430,1765,616,34.9,881,,,1610612764
10,1632,273,2032,5353,2612,48.8,1130,1156,918,79.4,2920,640,6927,2672,0,481,2050,785,38.3,815,,,1610612743
11,1610,253,2107,5312,2547,47.9,1144,1065,855,80.3,2900,563,6697,2670,0,405,2035,748,36.8,931,,,1610612741
12,1604,311,2118,5256,2591,49.3,1145,1356,1091,80.5,2905,543,7117,2661,0,409,2173,844,38.8,831,,,1610612751
13,1517,258,2163,5399,2610,48.3,1211,1210,1009,83.4,2976,592,7123,2755,0,439,2133,894,41.9,804,,,1610612746
14,1397,308,2021,5295,2480,46.8,1214,1248,966,77.4,2895,640,6722,2661,0,466,2128,796,37.4,856,,,1610612738
15,1469,318,2093,5155,2437,47.3,1148,1385,1035,74.7,2910,572,6578,2665,0,470,1888,669,35.4,925,,,1610612747
16,1450,315,2053,5303,2438,46.0,1062,1288,1011,78.5,2857,548,6498,2601,0,420,1718,611,35.6,683,,,1610612759
17,1219,300,1957,5356,2393,44.7,1126,1257,1035,82.3,2837,633,6748,2590,0,414,2459,927,37.7,669,,,1610612757
18,1325,262,2053,5129,2402,46.8,1144,1255,970,77.3,2837,521,6580,2574,0,355,2248,806,35.9,712,,,1610612742
19,1576,275,1958,5156,2358,45.7,1060,1217,935,76.8,2842,613,6469,2571,0,467,2181,818,37.5,897,,,1610612766
20,1598,247,2042,5207,2537,48.7,1142,1082,896,82.8,2867,514,6738,2556,0,425,2055,768,37.4,767,,,1610612756
21,1526,339,1992,5531,2455,44.4,1269,1367,1055,77.2,2948,622,6751,2614,0,536,2248,786,35.0,874,,,1610612750
22,1487,310,2011,5248,2359,45.0,1268,1456,1119,76.9,2958,607,6557,2618,0,462,2027,720,35.5,908,,,1610612765
23,1642,286,2088,5298,2466,46.5,1290,1286,1004,78.1,2885,476,6781,2564,0,497,2268,845,37.3,900,,,1610612744
24,1409,283,1901,5073,2305,45.4,1096,1285,953,74.2,2857,614,6138,2515,0,480,1694,575,33.9,905,,,1610612739
25,1406,315,2029,5385,2374,44.1,1187,1356,1004,74.0,2933,561,6567,2590,0,465,2440,815,33.4,889,,,1610612745
26,1578,373,1958,5361,2509,46.8,1198,1229,966,78.6,2862,543,6708,2501,0,511,2029,724,35.7,796,,,1610612754
27,1596,250,2062,5090,2347,46.1,1151,1298,1021,78.7,2948,487,6491,2549,0,473,2215,776,35.0,881,,,1610612748
28,1502,286,1883,5234,2525,48.2,1158,1351,1000,74.0,2837,563,6763,2446,0,423,1957,713,36.4,779,,,1610612758
29,1454,340,1936,5298,2377,44.9,1299,1292,1067,82.6,2880,555,6713,2491,0,503,2402,892,37.1,802,,,1610612761
